,id,name,cuisines,average_cost_for_two,price_range,extamblishment_type,timings,locality,locality_verbose,address,latitude,longitude,aggregate_rating,votes
0,48690,Cafe Colony,"Mughlai, Biryani",250,1,Casual Dining,6 AM to 10:30 PM,Dadar East,"Dadar East, Mumbai","Road 1, Shrikanth Lodge, Near Tilak Bridge, Hindu Colony, Dadar East, Mumbai",72.8470000997,19.0184559303,3.7,111
1,49100,PizzaExpress,"Italian, Pizza",1900,3,Casual Dining,"11:30am – 11pm (Mon, Tue, Wed, Thu, Sun), 11:30am – 11:30pm (Fri-Sat)",Powai,"Powai, Mumbai","G14, A Wing, Ventura Hiranandani Business Park, Powai, Mumbai",72.9094073921,19.1162711371,4.3,4897
2,43975,PizzaExpress,"Italian, Pizza",1900,3,Casual Dining,"11:30am – 11pm (Mon, Tue, Wed, Thu, Sun), 11:30am – 12midnight (Fri-Sat)",Colaba,"Colaba, Mumbai","Dhanraj Mahal, Apollo Bunder, Colaba, Mumbai",72.8335434571,18.9239802050,4.2,3916
3,47875,PizzaExpress,"Italian, Pizza",1900,3,Casual Dining,"11:30am – 11:30pm (Mon, Tue, Wed, Thu, Sun), 11:30am – 12midnight (Fri-Sat)",Veera Desai Area,"Veera Desai Area, Mumbai","Ground Floor, Crystal Paradise, Off Veera Desai Road, Veera Desai Area, Mumbai",72.8347735852,19.1320448250,4.4,3825
4,49464,Café 792,"Cafe, Fast Food, Parsi",600,2,Café,"10:30am – 7:30pm (Mon-Sat),Closed (Sun)",Dadar East,"Dadar East, Mumbai","792, Dina Manzil Outhouse, Jame-Jamshed Road, Parsi Colony, Dadar East, Mumbai",72.8478191793,19.0175043697,3.9,290
5,35238,Mini Punjab,"North Indian, Chinese",650,2,Casual Dining,7 PM to 12 Midnight (Mon-Sun),Sion,"Sion, Mumbai","Punjabi Colony, GTB Nagar, Sion Koliwada, Sion, Mumbai",72.8629361093,19.0343165838,3.8,395
6,18966087,La Pino'z Pizza,"Pizza, Italian, Fast Food",500,2,Quick Bites,10am – 12midnight (Mon-Sun),Sion,"Sion, Mumbai","8/A - 1, Sindhi Colony, Road 24, Sion, Mumbai",72.8614716232,19.0422295454,4.3,257
7,18471969,Prithvi's Cavern,"Cafe, Chinese, Fast Food",1000,3,Casual Dining,"12midnight – 12:30AM, 2:30pm – 12midnight (Mon-Sun)",Dadar East,"Dadar East, Mumbai","53, Vasant bhavan, L.N.Road, First Lane Hindu Colony, Dadar East, Mumbai",72.8453327715,19.0194106551,3.9,229
8,19001467,FOU The Crazy Cafe,"Cafe, Fast Food",600,2,Café,12 Noon to 11:30 PM,Dadar Shivaji Park,"Dadar Shivaji Park, Mumbai","Shop 3, Bhagirathi Sadan, SVS Road, Kataria Colony, Dadar Shivaji Park, Mumbai",72.8384944797,19.0305211316,4.1,158
9,18374843,Theobroma,"Bakery, Desserts, Fast Food",600,2,Bakery,9 AM to 12 Midnight,Lower Parel,"Lower Parel, Mumbai","Lodha Supremus, Survey 453, Senapati Bapat Marg,Opposite Kamala Mills, Railway Colony, Lower Parel, Mumbai",72.8294698521,19.0015936099,4.2,770
10,18357370,Three Chicks and A Bear,"American, Burger",800,2,Casual Dining,11 AM to 12 Midnight,Lower Parel,"Lower Parel, Mumbai","Lodha Supremus, Survey 453, Senapati Bapat Marg, Railway Colony, Lower Parel, Mumbai",72.8294651583,19.0015958290,4.2,888
11,18397657,Door No.1 - The Retro Bar & Kitchen,"Asian, Italian, North Indian, Finger Food",1500,3,Bar,"5pm – 1am (Mon-Fri),11am – 1am (Sat-Sun)","Reclamation, Bandra West","Reclamation, Bandra West, Mumbai","Shop 1 & 2, Ankleshwar, ONGC Colony, Reclamation, Bandra West, Mumbai",72.8285344318,19.0489917274,4.1,971
12,36511,Kings Snack Bar,"North Indian, Chinese, Mughlai",900,2,Casual Dining,11:30 AM to 2:45 AM (Mon-Sun),Chembur,"Chembur, Mumbai","Chembur Colony, Dr. C.G. Road, Chembur, Mumbai",72.8944021091,19.0456472754,3.9,861
13,18397677,Krishna Restaurant,"North Indian, Chinese, Mughlai",500,2,Casual Dining,"12 Noon to 4 PM, 7 PM to 12:30 AM",Bandra East,"Bandra East, Mumbai","31, Mahatma Gandhi Vidya Marg, Government Colony, Bandra East, Mumbai",72.8481150000,19.0631780000,4.2,826
14,18382977,Bachelorr's,"Desserts, Beverages, Fast Food, Healthy Food",600,2,Dessert Parlour,11am – 4am (Mon-Sun),"Reclamation, Bandra West","Reclamation, Bandra West, Mumbai","14, Ground Floor, ONGC Colony, Opposite Lilavati Hospital, Reclamation, Bandra West, Mumbai",72.8295070678,19.0495390410,3.8,303
15,19123635,And It Was Called Yellow,Modern Indian,1500,3,Casual Dining,12noon – 1am (Mon-Sun),"Reclamation, Bandra West","Reclamation, Bandra West, Mumbai","Shop 5, 6, ONGC Colony, Nityanand Road, Geliki, Reclamation, Bandra West, Mumbai",72.8289018944,19.0492243438,4.3,85
16,43196,Vig,"Street Food, North Indian",250,1,Quick Bites,6:30 AM to 10 PM (Mon-Sun),Chembur,"Chembur, Mumbai","C G ROAD, CHEMBUR COLONY, CHEMBUR (E), MUMBAI -400074, Greater Mumbai Ward-M/W, Greater Mumbai(Maharashtra) -400074",72.8953425586,19.0456818200,4.0,1014
17,18934693,The Harbour Bay - SeaFood Kitchen & Bar,"Seafood, European, Asian, North Indian, Lebanese, Salad",2400,4,Casual Dining,12 Noon to 1 AM,"Reclamation, Bandra West","Reclamation, Bandra West, Mumbai","3, Ankleshwar ONGC Housing Colony, Reclamation, Bandra West, Mumbai",72.8286742419,19.0491013804,4.5,374
18,18429245,Sainath Kulcha,Street Food,200,1,Quick Bites,9 AM to 10 PM (Mon-Sun),Chembur,"Chembur, Mumbai","21, Kolwada Borla Road, Chembur Colony, RCF Colony, Chembur, Mumbai",72.8973109648,19.0460323361,4.1,401
19,36505,Hotel Sunny,"Kerala, Chinese, North Indian",800,2,Casual Dining,"12 Noon to 11:30 PM (Mon, Wed-Sun), Tue Closed",Chembur,"Chembur, Mumbai","Shop 43, Shell Colony Road, Chembur East, Chembur, Mumbai",72.8961690143,19.0638883456,4.1,808
20,18541829,Food Villa,Fast Food,600,2,Quick Bites,11:30 AM to 12:30 PM,Chembur,"Chembur, Mumbai","Shop 2, Near M.S. Building 10, Nityanand Baug Road, Chembur Colony, Chembur, Mumbai",72.8947139159,19.0450118441,3.8,211
21,16527680,Barbarian,"Pizza, Fast Food",600,2,Quick Bites,"Closed (Mon),10 AM to 3 AM (Tue-Sun)",Matunga East,"Matunga East, Mumbai","13, West View Building, L.N. Road, Hindu Colony, Matunga East, Mumbai",72.8547194973,19.0266856558,3.5,140
22,46703,Celebrations 365,"South Indian, Continental, Chinese, North Indian",600,2,Casual Dining,11 AM to 1:30 AM,Bandra East,"Bandra East, Mumbai","Government Colony, Near Chetna College, Bandra East, Mumbai",72.8484823555,19.0629937687,3.8,302
23,18894914,Brewbot Taproom,"Mediterranean, European, American, Italian",2000,4,Casual Dining,"12midnight – 1am, 4pm – 12midnight (Mon-Fri),12midnight – 1am, 12noon – 12midnight (Sat-Sun)","Reclamation, Bandra West","Reclamation, Bandra West, Mumbai","Shop 7, Geliki Building, ONGC Colony, Reclamation, Bandra West, Mumbai",72.8290852904,19.0493390674,4.2,228
24,35217,Joey's Pizza,Pizza,800,2,Casual Dining,11AM to 12Midnight (Mon-Sun),Azad Nagar,"Azad Nagar, Mumbai","Shop 6-9, Upvan Building, Near Indian Oil Colony, Azad Nagar, Mumbai",72.8299902007,19.1267929038,4.5,9531
25,49612,Bhojohori Manna,"Bengali, Biryani",700,2,Casual Dining,12noon – 11:30pm (Mon-Sun),Chembur,"Chembur, Mumbai","Shop 14, Near Maharana Kamat, Chembur Naka, Chembur Colony, Chembur, Mumbai",72.8952684626,19.0538176595,3.7,463
26,18565686,McDonald's,"Burger, Fast Food",500,2,Quick Bites,7 AM to 12 Midnight,Santacruz East,"Santacruz East, Mumbai","G-28, Vidya Nagari Road, Mathuradas Colony, Kalina, Santacruz East, Mumbai",72.8666459396,19.0728611004,4.0,350
27,32722,Shapoor,"North Indian, Mughlai, Chinese, Seafood",500,2,Casual Dining,Mon-Sun (11 AM to 11:59 PM),Dadar East,"Dadar East, Mumbai","GB Building, Lakhamshi Napoo Road, Lokmanya Tilak Colony, Dadar East, Mumbai",72.8433630243,19.0166371199,3.4,104
28,18165928,Charcoal Eats Express,"Biryani, Mughlai, North Indian, Fast Food, Rolls",600,2,Quick Bites,11:30 AM to 11 PM,Bandra East,"Bandra East, Mumbai","Government Colony, Ahinsa Nagar, Near New English School, Bandra East, Mumbai",72.8481329978,19.0674105172,3.9,248
29,18276585,Eva's Pizza,"Pizza, Sandwich, Beverages",650,2,Casual Dining,11am – 11pm (Mon-Sun),Mahakali,"Mahakali, Mumbai","Shop 2, Plot 285, Madhu Kunj, Sher E Punjab Colony, Mahakali, Mumbai",72.8647750989,19.1300147143,4.1,1207
30,41569,Hotel Savaji,"Chinese, North Indian, Mughlai, Biryani",800,2,Casual Dining,11:30 AM to 12 Midnight,Bandra East,"Bandra East, Mumbai","Near 316 Bus Stop, Government Colony, Bandra East, Mumbai",72.8505486622,19.0619847891,3.6,220
